Linux 6.11.3-arch1-1 (Legion-Arch-Linux) 	10/19/2024 	_x86_64_	(16 CPU)

06:37:40 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:40:53 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:40:54 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:40:55 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:40:56 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:40:57 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:40:58 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:40:59 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:00 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:01 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:41:02 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:41:03 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:04 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:05 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:06 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:07 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:08 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:09 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:41:10 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:41:11 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:41:12 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:41:13 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:41:14 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:41:15 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:41:16 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:17 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:18 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:19 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:20 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:21 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:22 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:23 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:24 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:25 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:26 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:27 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:28 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:29 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:30 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
06:41:31 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:41:32 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:41:33 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     2  blur
06:41:34 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     3  blur
06:41:35 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:36 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:37 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:38 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:39 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:40 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:41 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:41:42 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:43 PM  1000     33413  100.00    0.00    0.00    1.00  100.00     7  blur
06:41:44 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:45 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:46 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:41:47 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:41:48 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:41:49 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:41:50 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:41:51 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:41:52 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:41:53 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     6  blur
06:41:54 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:55 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:56 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
06:41:57 PM  1000     33413  100.00    0.00    0.00    0.00  100.00     7  blur
